,timestamp_utc,air_temperature,precipitation,global_radiation,date,hour,min
83,2020-04-12 12:00:00+00:00,19.5,0,0,2020-04-12,12,0
84,2020-04-13 12:00:00+00:00,20.1,0,0,2020-04-13,12,0
85,2020-04-14 12:00:00+00:00,8.8,0,0,2020-04-14,12,0
86,2020-04-15 12:00:00+00:00,11.2,0,0,2020-04-15,12,0
87,2020-04-16 12:00:00+00:00,19.0,0,0,2020-04-16,12,0
88,2020-04-17 12:00:00+00:00,18.4,0,0,2020-04-17,12,0
89,2020-04-18 12:00:00+00:00,21.6,0,0,2020-04-18,12,0
90,2020-04-19 12:00:00+00:00,19.1,0,0,2020-04-19,12,0
91,2020-04-20 12:00:00+00:00,14.1,0,0,2020-04-20,12,0
92,2020-04-21 12:00:00+00:00,12.2,0,0,2020-04-21,12,0
93,2020-04-22 12:00:00+00:00,16.8,0,0,2020-04-22,12,0
94,2020-04-23 12:00:00+00:00,18.1,0,0,2020-04-23,12,0
95,2020-04-24 12:00:00+00:00,22.2,0,0,2020-04-24,12,0
96,2020-04-25 12:00:00+00:00,20.0,0,0,2020-04-25,12,0
97,2020-04-26 12:00:00+00:00,19.3,0,0,2020-04-26,12,0
98,2020-04-27 12:00:00+00:00,20.8,0,0,2020-04-27,12,0
99,2020-04-28 12:00:00+00:00,14.2,0,0,2020-04-28,12,0
100,2020-04-29 12:00:00+00:00,14.7,0,0,2020-04-29,12,0
101,2020-04-30 12:00:00+00:00,12.2,0,0,2020-04-30,12,0
102,2020-05-01 12:00:00+00:00,11.2,0,0,2020-05-01,12,0
103,2020-05-02 12:00:00+00:00,14.2,0,0,2020-05-02,12,0
104,2020-05-03 12:00:00+00:00,14.4,0,0,2020-05-03,12,0
105,2020-05-04 12:00:00+00:00,20.8,0,0,2020-05-04,12,0
106,2020-05-05 12:00:00+00:00,13.0,0,0,2020-05-05,12,0
107,2020-05-06 12:00:00+00:00,13.9,0,0,2020-05-06,12,0
108,2020-05-07 12:00:00+00:00,17.9,0,0,2020-05-07,12,0
109,2020-05-08 12:00:00+00:00,22.5,0,0,2020-05-08,12,0
110,2020-05-09 12:00:00+00:00,22.9,0,0,2020-05-09,12,0
111,2020-05-10 12:00:00+00:00,21.5,0,0,2020-05-10,12,0
112,2020-05-11 12:00:00+00:00,14.3,0,0,2020-05-11,12,0
113,2020-05-12 12:00:00+00:00,8.8,0,0,2020-05-12,12,0
114,2020-05-13 12:00:00+00:00,11.3,0,0,2020-05-13,12,0
115,2020-05-14 12:00:00+00:00,10.1,0,0,2020-05-14,12,0
116,2020-05-15 12:00:00+00:00,11.2,0,0,2020-05-15,12,0
117,2020-05-16 12:00:00+00:00,15.3,0,0,2020-05-16,12,0
118,2020-05-17 12:00:00+00:00,18.8,0,0,2020-05-17,12,0
119,2020-05-18 12:00:00+00:00,20.9,0,0,2020-05-18,12,0
120,2020-05-19 12:00:00+00:00,21.6,0,0,2020-05-19,12,0
121,2020-05-20 12:00:00+00:00,21.3,0,0,2020-05-20,12,0
122,2020-05-21 12:00:00+00:00,21.8,0,0,2020-05-21,12,0
123,2020-05-22 12:00:00+00:00,22.4,0,0,2020-05-22,12,0
124,2020-05-23 12:00:00+00:00,17.2,0,0,2020-05-23,12,0
125,2020-05-24 12:00:00+00:00,17.6,0,0,2020-05-24,12,0
126,2020-05-25 12:00:00+00:00,17.7,0,0,2020-05-25,12,0
127,2020-05-26 12:00:00+00:00,18.2,0,0,2020-05-26,12,0
128,2020-05-27 12:00:00+00:00,18.9,0,0,2020-05-27,12,0
129,2020-05-28 12:00:00+00:00,21.0,0,0,2020-05-28,12,0
130,2020-05-29 12:00:00+00:00,17.0,0,0,2020-05-29,12,0
131,2020-05-30 12:00:00+00:00,17.4,0,0,2020-05-30,12,0
132,2020-05-31 12:00:00+00:00,17.8,0,0,2020-05-31,12,0
133,2020-06-01 12:00:00+00:00,20.5,0,0,2020-06-01,12,0
134,2020-06-02 12:00:00+00:00,22.6,0,0,2020-06-02,12,0
135,2020-06-03 12:00:00+00:00,25.3,0,0,2020-06-03,12,0
136,2020-06-04 12:00:00+00:00,15.4,0,0,2020-06-04,12,0
137,2020-06-05 12:00:00+00:00,14.2,0,0,2020-06-05,12,0
138,2020-06-06 12:00:00+00:00,19.5,0,0,2020-06-06,12,0
139,2020-06-07 12:00:00+00:00,12.7,0,0,2020-06-07,12,0
